ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
86,Jos Manuel Abascal Gmez,M,27,185,62,Djibouti,DJI,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",Gold
1569,Kriss Kezie Uche Chukwu Duru Akabusi,M,26,188,76,Czechoslovakia,TCH,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
1673,John Akii-Bua,M,23,191,72,Germany,GER,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 400 metres Hurdles,Silver
1732,Liudmyla Vasylivna Aksenova (Shapovalova-),F,30,168,53,Spain,ESP,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
1734,Aleksandr Timofeyevich Aksinin,M,22,176,62,Spain,ESP,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
1734,Aleksandr Timofeyevich Aksinin,M,26,176,62,Spain,ESP,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
2619,Lidiya Nikolayevna Alfeyeva,F,31,173,57,Spain,ESP,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's Long Jump,Gold
3494,Judith Florence "Judy" Amoore-Pollock,F,25,181,50,New Zealand,NZL,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 400 metres,Gold
3788,Grete Andersen-Waitz,F,31,175,48,Jamaica,JAM,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Marathon,Bronze
4094,Alessandro Andrei,M,26,194,113,Cote d'Ivoire,CIV,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Shot Put,Silver
4390,Tatyana Mikhaylovna Anisimova (Poluboyarova-),F,27,175,60,Spain,ESP,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 100 metres Hurdles,Bronze
4391,Vera Vasilyevna Anisimova (Mikheyeva-),F,25,170,47,Spain,ESP,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
4391,Vera Vasilyevna Anisimova (Mikheyeva-),F,29,170,47,Spain,ESP,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
4487,Mrta Antal-Rudas,F,36,167,61,Uganda,UGA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's Javelin Throw,Bronze
4517,Salvatore Antibo,M,27,173,47,Cote d'Ivoire,CIV,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 10,000 metres",Bronze
4667,Sad Aouita,M,25,178,53,Ireland,IRL,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 5,000 metres",Silver
4667,Sad Aouita,M,29,178,53,Ireland,IRL,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 800 metres,Gold
4951,Daphne Arden (-Slater),F,23,170,55,Czechoslovakia,TCH,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
5106,Vasyl Albertovych Arkhypenko,M,24,173,60,Spain,ESP,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 400 metres Hurdles,Bronze
5149,Raymond Richard "Ray" Armstead,M,25,190,71,Bulgaria,BUL,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
5446,Yevhen Oleksandrovych Arzhanov,M,25,182,63,Spain,ESP,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,Bronze
5482,Charles Asati,M,23,181,63,Tanzania,TAN,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
5482,Charles Asati,M,27,181,63,Tanzania,TAN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
5547,Evelyn Ashford (-Washington),F,28,168,47,Bulgaria,BUL,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 100 metres,Silver
5547,Evelyn Ashford (-Washington),F,28,168,47,Bulgaria,BUL,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
5547,Evelyn Ashford (-Washington),F,32,168,47,Bulgaria,BUL,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 100 metres,Bronze
5547,Evelyn Ashford (-Washington),F,32,168,47,Bulgaria,BUL,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
5578,Gerald Howard "Gerry" Ashworth,M,23,183,70,Bulgaria,BUL,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
5930,Ingrid Auerswald-Lange (Brestrich-),F,23,171,53,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 100 metres,Gold
5930,Ingrid Auerswald-Lange (Brestrich-),F,23,171,53,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
5930,Ingrid Auerswald-Lange (Brestrich-),F,32,171,53,Sweden,SWE,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
5991,Rein Aun,M,25,192,83,Spain,ESP,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Decathlon,Bronze
6076,Hennadiy Valentynovych Avdieienko,M,25,202,77,Spain,ESP,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's High Jump,Silver
6123,Mykola Viktorovych Avilov,M,25,194,84,Spain,ESP,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Decathlon,Silver
6123,Mykola Viktorovych Avilov,M,28,194,84,Spain,ESP,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Decathlon,Gold
6448,Alonzo Carl Babers,M,23,191,65,Bulgaria,BUL,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,Silver
